BatchNumber,MachineNumber,ProductCode,TimeStarted,TimeStopped,NumberProduced,NumberRejected
3851,2,29,1/10/2013 9:35,1/10/2013 11:30,1807,19
3851,3,47,1/10/2013 8:09,1/10/2013 10:04,657,7
3852,4,34,1/10/2013 8:09,1/10/2013 8:54,257,2
3852,5,37,1/10/2013 8:22,1/10/2013 9:07,257,2
3853,6,23,1/10/2013 8:22,1/10/2013 16:17,5092,54
3854,1,23,1/13/2013 8:04,1/13/2013 13:19,3377,36
3854,2,27,1/13/2013 8:04,1/13/2013 13:19,4952,53
3854,3,59,1/13/2013 8:18,1/13/2013 15:28,2460,26
3855,4,45,1/13/2013 8:18,1/13/2013 15:28,2460,26
3855,5,36,1/13/2013 8:32,1/13/2013 14:32,2059,22
3856,6,22,1/13/2013 8:32,1/13/2013 10:02,964,10
3857,1,22,1/14/2013 8:45,1/14/2013 9:05,214,2
3857,2,27,1/14/2013 8:45,1/14/2013 9:05,314,3
3857,3,58,1/14/2013 8:59,1/14/2013 15:34,2260,24
3858,4,45,1/14/2013 9:13,1/14/2013 15:38,2203,23
3858,5,49,1/14/2013 9:13,1/14/2013 15:38,2203,23
3859,6,23,1/14/2013 9:26,1/14/2013 14:41,3377,36
3860,1,23,1/15/2013 9:26,1/15/2013 14:41,3377,36
3860,2,27,1/15/2013 8:27,1/15/2013 12:32,3852,41
3860,3,59,1/15/2013 8:27,1/15/2013 9:07,228,2
3861,4,45,1/15/2013 8:41,1/15/2013 9:21,228,2
3861,5,49,1/15/2013 8:41,1/15/2013 16:36,2718,29
3862,6,22,1/15/2013 8:55,1/15/2013 15:40,4343,46
3863,1,22,1/16/2013 8:55,1/16/2013 15:40,4343,46
3863,2,26,1/16/2013 9:08,1/16/2013 14:43,5267,56
3863,3,58,1/16/2013 9:08,1/16/2013 14:43,1917,20
3864,4,44,1/16/2013 9:22,1/16/2013 13:52,1545,16
3864,5,47,1/16/2013 9:22,1/16/2013 16:22,2404,25
3865,6,12,1/16/2013 9:36,1/16/2013 16:36,4504,48
3866,1,12,1/17/2013 9:36,1/17/2013 11:46,1394,14
3866,2,24,1/17/2013 8:09,1/17/2013 10:19,2044,21
3866,3,42,1/17/2013 8:09,1/17/2013 9:14,372,3
3867,4,46,1/17/2013 8:23,1/17/2013 9:28,372,3
3867,5,33,1/17/2013 8:37,1/17/2013 16:52,2833,30
3868,6,19,1/17/2013 8:37,1/17/2013 15:42,4558,48
3869,1,19,1/20/2013 8:05,1/20/2013 15:30,4773,51
3869,2,28,1/20/2013 8:19,1/20/2013 15:44,6998,74
3869,3,59,1/20/2013 8:19,1/20/2013 14:39,2176,23
3870,4,46,1/20/2013 8:32,1/20/2013 14:52,2176,23
3870,5,36,1/20/2013 8:32,1/20/2013 10:57,830,8
3871,6,23,1/20/2013 8:46,1/20/2013 10:06,858,9
3872,1,23,1/21/2013 8:46,1/21/2013 8:56,107,1
3872,2,26,1/21/2013 8:16,1/21/2013 8:26,157,1
3872,3,58,1/21/2013 9:13,1/21/2013 16:33,2520,27
3873,4,49,1/21/2013 9:13,1/21/2013 16:33,2520,27
3873,5,52,1/21/2013 9:27,1/21/2013 15:42,2147,23
3874,6,11,1/21/2013 9:27,1/21/2013 14:32,3272,35
3875,1,11,1/22/2013 8:01,1/22/2013 13:06,3272,35
3875,2,29,1/22/2013 8:01,1/22/2013 11:56,3696,39
3875,3,46,1/22/2013 8:14,1/22/2013 12:09,1346,14
3876,4,33,1/22/2013 8:14,1/22/2013 11:04,973,10
3876,5,51,1/22/2013 8:28,1/22/2013 9:28,343,3
3877,6,23,1/22/2013 8:28,1/22/2013 9:28,643,6
3878,1,23,1/23/2013 8:42,1/23/2013 9:12,321,3
3878,2,28,1/23/2013 8:42,1/23/2013 9:12,471,5
3878,3,59,1/23/2013 8:55,1/23/2013 16:40,2664,28
3879,4,46,1/23/2013 8:55,1/23/2013 15:30,2262,24
3879,5,36,1/23/2013 9:09,1/23/2013 15:44,2263,24
3880,6,9,1/23/2013 9:09,1/23/2013 14:34,3487,37
3881,1,9,1/24/2013 9:23,1/24/2013 14:48,3487,37
3881,2,29,1/24/2013 9:23,1/24/2013 13:43,4089,43
3881,3,47,1/24/2013 9:36,1/24/2013 12:46,1088,11
3882,4,33,1/24/2013 9:36,1/24/2013 12:46,1088,11
3882,5,51,1/24/2013 8:11,1/24/2013 10:11,687,7
3883,6,14,1/24/2013 8:11,1/24/2013 9:06,590,6
3884,1,14,1/27/2013 9:32,1/27/2013 11:57,1556,16
3884,2,32,1/27/2013 9:32,1/27/2013 10:47,1179,12
3884,3,49,1/27/2013 8:06,1/27/2013 9:21,429,4
3885,4,53,1/27/2013 8:06,1/27/2013 8:11,28,0
3885,5,58,1/27/2013 9:02,1/27/2013 16:22,2514,26
3886,6,17,1/27/2013 8:33,1/27/2013 15:53,4714,50
3887,1,17,1/28/2013 8:33,1/28/2013 14:43,3964,42
3887,2,25,1/28/2013 8:47,1/28/2013 14:17,5185,55
3887,3,57,1/28/2013 8:47,1/28/2013 14:17,1885,20
3888,4,43,1/28/2013 9:01,1/28/2013 12:51,1314,14
3888,5,53,1/28/2013 9:01,1/28/2013 12:51,1314,14
3889,6,16,1/28/2013 9:14,1/28/2013 11:59,1767,18
3890,1,16,1/29/2013 9:14,1/29/2013 11:59,1767,18
3890,2,25,1/29/2013 9:28,1/29/2013 11:03,1492,15
3890,3,43,1/29/2013 9:28,1/29/2013 9:53,142,1
3891,4,47,1/29/2013 8:02,1/29/2013 8:27,142,1
3891,5,33,1/29/2013 8:29,1/29/2013 13:49,1828,19
3892,6,12,1/29/2013 8:43,1/29/2013 12:58,2732,29
3893,1,12,1/30/2013 8:56,1/30/2013 13:11,2732,29
3893,2,24,1/30/2013 8:56,1/30/2013 12:01,2907,31
3893,3,55,1/30/2013 8:57,1/30/2013 12:02,1057,11
3894,4,42,1/30/2013 8:57,1/30/2013 10:52,657,7
3894,5,46,1/30/2013 9:24,1/30/2013 15:19,2029,21
3895,6,19,1/30/2013 9:24,1/30/2013 15:19,3804,40
3896,1,19,1/31/2013 9:37,1/31/2013 17:37,5143,55
3896,2,32,1/31/2013 9:37,1/31/2013 16:27,6443,69
3896,3,58,1/31/2013 8:11,1/31/2013 15:01,2343,25
3897,4,44,1/31/2013 8:11,1/31/2013 13:56,1972,21
3897,5,43,1/31/2013 8:25,1/31/2013 13:00,1572,16
3898,6,17,1/31/2013 8:25,1/31/2013 13:00,2947,31
3899,1,17,2/3/2013 8:07,2/3/2013 13:02,3161,33
3899,2,25,2/3/2013 8:07,2/3/2013 13:02,4636,49
3899,3,57,2/3/2013 8:52,2/3/2013 12:42,1315,14
3900,4,43,2/3/2013 8:52,2/3/2013 11:32,914,9
3900,5,53,2/3/2013 8:34,2/3/2013 11:14,915,9
3901,6,16,2/3/2013 8:34,2/3/2013 10:04,964,10
3902,1,16,2/4/2013 8:48,2/4/2013 10:18,964,10
3902,2,25,2/4/2013 8:48,2/4/2013 9:13,392,4
3902,3,43,2/4/2013 9:01,2/4/2013 16:36,2602,27
3903,4,47,2/4/2013 9:15,2/4/2013 16:50,2602,27
3903,5,48,2/4/2013 9:15,2/4/2013 15:40,2202,23
3904,6,21,2/4/2013 9:29,2/4/2013 15:54,4127,44
3905,1,21,2/5/2013 9:29,2/5/2013 14:49,3430,36
3905,2,25,2/5/2013 8:02,2/5/2013 10:07,1964,21
3905,3,57,2/5/2013 8:02,2/5/2013 10:07,714,7
3906,4,43,2/5/2013 8:16,2/5/2013 11:16,1029,11
3906,5,47,2/5/2013 8:03,2/5/2013 11:03,1029,11
3907,6,2,2/5/2013 8:03,2/5/2013 9:58,1232,13
3908,1,2,2/6/2013 8:43,2/6/2013 9:28,482,5
3908,2,32,2/6/2013 8:43,2/6/2013 9:28,707,7
3908,3,37,2/6/2013 8:57,2/6/2013 16:52,2717,29
3909,4,55,2/6/2013 8:57,2/6/2013 16:52,2717,29
3909,5,41,2/6/2013 9:11,2/6/2013 16:01,2345,25
3910,6,14,2/6/2013 9:11,2/6/2013 14:51,3645,39
3911,1,14,2/7/2013 9:24,2/7/2013 15:04,3645,39
3911,2,32,2/7/2013 9:24,2/7/2013 13:54,4244,45
3911,3,36,2/7/2013 9:38,2/7/2013 14:08,1544,16
3912,4,54,2/7/2013 9:38,2/7/2013 13:03,1172,12
3912,5,58,2/7/2013 8:12,2/7/2013 10:27,772,8
3913,6,17,2/7/2013 8:12,2/7/2013 10:27,1447,15
3914,1,17,2/10/2013 8:03,2/10/2013 10:38,1662,17
3914,2,26,2/10/2013 8:03,2/10/2013 10:38,2437,26
3914,3,57,2/10/2013 8:24,2/10/2013 9:54,515,5
3915,4,44,2/10/2013 8:24,2/10/2013 8:44,114,1
3915,5,43,2/10/2013 8:54,2/10/2013 9:14,114,1
3916,6,16,2/10/2013 8:54,2/10/2013 15:29,4235,45
3917,1,16,2/11/2013 9:08,2/11/2013 15:43,4235,45
3917,2,25,2/11/2013 9:08,2/11/2013 15:33,6053,64
3917,3,57,2/11/2013 9:21,2/11/2013 12:31,1087,11
3918,4,43,2/11/2013 9:21,2/11/2013 12:31,1087,11
3918,5,47,2/11/2013 9:35,2/11/2013 13:40,1402,15
3919,6,2,2/11/2013 8:09,2/11/2013 12:14,2627,28
3920,1,2,2/12/2013 8:09,2/12/2013 11:09,1930,20
3920,2,32,2/12/2013 8:22,2/12/2013 10:12,1729,18
3920,3,37,2/12/2013 8:22,2/12/2013 10:12,629,6
3921,4,55,2/12/2013 8:36,2/12/2013 9:16,229,2
3921,5,41,2/12/2013 8:36,2/12/2013 9:16,229,2
3922,6,14,2/12/2013 9:15,2/12/2013 17:10,5094,54
3923,1,14,2/13/2013 9:15,2/13/2013 13:45,2895,31
3923,2,32,2/13/2013 9:03,2/13/2013 13:33,4245,45
3923,3,36,2/13/2013 9:31,2/13/2013 16:31,2404,25
3924,4,54,2/13/2013 9:31,2/13/2013 11:41,744,7
3924,5,58,2/13/2013 8:04,2/13/2013 10:14,744,7
3925,6,17,2/13/2013 8:04,2/13/2013 9:09,697,7
3926,1,17,2/14/2013 8:18,2/14/2013 9:23,697,7
3926,2,26,2/14/2013 8:18,2/14/2013 16:33,7784,83
3926,3,57,2/14/2013 8:32,2/14/2013 15:37,2433,26
3927,4,44,2/14/2013 8:45,2/14/2013 15:50,2433,26
3927,5,43,2/14/2013 8:45,2/14/2013 14:45,2061,22
3928,6,16,2/14/2013 8:59,2/14/2013 14:59,3861,41
3929,1,16,2/17/2013 8:27,2/17/2013 14:47,4076,43
3929,2,26,2/17/2013 8:41,2/17/2013 11:06,2280,24
3929,3,58,2/17/2013 8:41,2/17/2013 10:01,458,4
3930,4,44,2/17/2013 8:55,2/17/2013 10:15,458,4
3930,5,47,2/17/2013 8:55,2/17/2013 9:05,57,0
3931,6,12,2/17/2013 9:08,2/17/2013 16:28,4720,50
3932,1,12,2/18/2013 9:08,2/18/2013 16:28,4720,50
3932,2,25,2/18/2013 9:22,2/18/2013 15:37,5898,63
3932,3,37,2/18/2013 9:22,2/18/2013 15:37,2148,23
3933,4,45,2/18/2013 9:36,2/18/2013 14:41,1747,18
3933,5,36,2/18/2013 9:36,2/18/2013 13:31,1346,14
3934,6,22,2/18/2013 8:09,2/18/2013 12:04,2521,27
3935,1,22,2/19/2013 8:09,2/19/2013 10:59,1824,19
3935,2,27,2/19/2013 8:23,2/19/2013 11:13,2674,28
3935,3,58,2/19/2013 8:23,2/19/2013 9:23,343,3
3936,4,45,2/19/2013 8:37,2/19/2013 9:07,171,1
3936,5,46,2/19/2013 8:37,2/19/2013 9:07,171,1
3937,6,18,2/19/2013 9:05,2/19/2013 16:50,4989,53
3938,1,18,2/20/2013 9:05,2/20/2013 16:50,4989,53
3938,2,25,2/20/2013 9:04,2/20/2013 15:39,6213,66
3938,3,36,2/20/2013 9:04,2/20/2013 14:29,1862,19
3939,4,54,2/20/2013 9:18,2/20/2013 14:43,1862,19
3939,5,41,2/20/2013 9:18,2/20/2013 13:38,1490,15
3940,6,13,2/20/2013 9:31,2/20/2013 13:51,2790,29
3941,1,13,2/21/2013 9:31,2/21/2013 12:41,2038,21
3941,2,26,2/21/2013 8:05,2/21/2013 10:05,1887,20
3941,3,58,2/21/2013 8:05,2/21/2013 10:05,687,7
3942,4,44,2/21/2013 8:19,2/21/2013 9:14,315,3
3942,5,47,2/21/2013 8:19,2/21/2013 9:14,315,3
3943,6,12,2/21/2013 8:32,2/21/2013 16:37,5205,55
3944,1,12,2/24/2013 8:01,2/24/2013 8:06,53,0
3944,2,24,2/24/2013 8:14,2/24/2013 8:19,78,0
3944,3,42,2/24/2013 8:14,2/24/2013 15:34,2514,26
3945,4,46,2/24/2013 8:28,2/24/2013 14:38,2114,22
3945,5,33,2/24/2013 8:28,2/24/2013 14:38,2114,22
3946,6,19,2/24/2013 8:42,2/24/2013 14:12,3536,37
3947,1,19,2/25/2013 8:42,2/25/2013 14:12,3536,37
3947,2,28,2/25/2013 8:55,2/25/2013 12:45,3614,38
3947,3,59,2/25/2013 9:09,2/25/2013 11:54,943,10
3948,4,46,2/25/2013 9:09,2/25/2013 11:54,943,10
3948,5,36,2/25/2013 9:23,2/25/2013 10:58,543,5
3949,6,23,2/25/2013 9:23,2/25/2013 10:58,1018,10
3950,1,23,2/26/2013 9:36,2/26/2013 10:01,267,2
3950,2,27,2/26/2013 9:36,2/26/2013 17:16,7229,77
3950,3,59,2/26/2013 8:11,2/26/2013 15:51,2629,28
3951,4,45,2/26/2013 8:11,2/26/2013 14:41,2229,23
3951,5,49,2/26/2013 8:24,2/26/2013 14:54,2229,23
3952,6,22,2/26/2013 8:24,2/26/2013 13:44,3429,36
3953,1,22,2/27/2013 8:37,2/27/2013 12:52,2732,29
3953,2,26,2/27/2013 8:37,2/27/2013 12:52,4007,42
3953,3,46,2/27/2013 8:51,2/27/2013 14:46,2029,21
3954,4,49,2/27/2013 8:51,2/27/2013 14:46,2029,21
3954,5,52,2/27/2013 9:32,2/27/2013 17:32,2744,29
3955,6,11,2/27/2013 9:32,2/27/2013 17:32,5144,55
3956,1,11,2/28/2013 8:06,2/28/2013 14:56,4394,47
3956,2,29,2/28/2013 8:06,2/28/2013 13:51,5422,58
3956,3,46,2/28/2013 9:02,2/28/2013 14:47,1972,21
3957,4,33,2/28/2013 9:02,2/28/2013 13:37,1572,16
3957,5,51,2/28/2013 8:33,2/28/2013 13:08,1572,16
3958,6,23,2/28/2013 8:47,2/28/2013 12:12,2197,23
3959,1,23,3/3/2013 8:15,3/3/2013 8:25,107,1
3959,2,28,3/3/2013 8:15,3/3/2013 8:25,157,1
3959,3,59,3/3/2013 8:29,3/3/2013 9:04,200,2
3960,4,46,3/3/2013 8:43,3/3/2013 9:18,200,2
3960,5,43,3/3/2013 8:43,3/3/2013 16:28,2660,28
3961,6,2,3/3/2013 8:56,3/3/2013 15:31,4234,45
3962,1,2,3/4/2013 8:56,3/4/2013 14:26,3537,37
3962,2,24,3/4/2013 8:57,3/4/2013 13:17,4087,43
3962,3,55,3/4/2013 8:57,3/4/2013 13:17,1487,15
3963,4,42,3/4/2013 9:24,3/4/2013 12:34,1087,11
3963,5,46,3/4/2013 9:24,3/4/2013 11:29,715,7
3964,6,19,3/4/2013 9:37,3/4/2013 11:42,1340,14
3965,1,19,3/5/2013 9:37,3/5/2013 10:32,589,6
3965,2,26,3/5/2013 8:11,3/5/2013 15:11,6603,70
3965,3,58,3/5/2013 8:11,3/5/2013 11:46,1230,13
3966,4,44,3/5/2013 8:25,3/5/2013 9:40,429,4
3966,5,43,3/5/2013 8:25,3/5/2013 13:30,1745,18
3967,6,17,3/5/2013 8:38,3/5/2013 11:23,1769,18
3968,1,17,3/6/2013 8:38,3/6/2013 9:08,321,3
3968,2,25,3/6/2013 8:52,3/6/2013 14:17,5109,54
3968,3,57,3/6/2013 8:52,3/6/2013 13:07,1459,15
3969,4,43,3/6/2013 9:06,3/6/2013 12:16,1087,11
3969,5,53,3/6/2013 9:06,3/6/2013 11:06,686,7
3970,6,16,3/6/2013 9:19,3/6/2013 14:24,3270,35
3971,1,16,3/7/2013 9:33,3/7/2013 14:38,3270,35
3971,2,25,3/7/2013 9:33,3/7/2013 17:33,7547,80
3971,3,43,3/7/2013 8:07,3/7/2013 16:07,2747,29
3972,4,47,3/7/2013 8:07,3/7/2013 15:02,2375,25
3972,5,33,3/7/2013 8:52,3/7/2013 14:37,1974,21
3973,6,12,3/7/2013 8:52,3/7/2013 13:27,2949,31
3974,1,12,3/10/2013 8:02,3/10/2013 13:32,3539,37
3974,2,24,3/10/2013 8:16,3/10/2013 12:06,3616,38
3974,3,55,3/10/2013 8:16,3/10/2013 10:56,916,9
3975,4,42,3/10/2013 9:14,3/10/2013 15:44,2233,23
3975,5,46,3/10/2013 9:14,3/10/2013 14:29,1803,19
3976,6,19,3/10/2013 9:27,3/10/2013 13:32,2627,28
3977,1,19,3/11/2013 9:27,3/11/2013 12:22,1877,20
3977,2,32,3/11/2013 8:01,3/11/2013 9:51,1729,18
3977,3,53,3/11/2013 8:01,3/11/2013 14:46,2319,24
3978,4,58,3/11/2013 8:15,3/11/2013 13:50,1918,20
3978,5,44,3/11/2013 8:15,3/11/2013 13:50,1918,20
3979,6,17,3/11/2013 8:28,3/11/2013 10:38,1394,14
3980,1,17,3/12/2013 8:28,3/12/2013 9:28,643,6
3980,2,25,3/12/2013 8:42,3/12/2013 16:57,7785,83
3980,3,57,3/12/2013 8:42,3/12/2013 16:57,2835,30
3981,4,43,3/12/2013 8:56,3/12/2013 14:51,2033,21
3981,5,48,3/12/2013 8:56,3/12/2013 13:46,1661,17
3982,6,11,3/12/2013 9:09,3/12/2013 12:49,2360,25
3983,1,11,3/13/2013 9:09,3/13/2013 12:49,2360,25
3983,2,29,3/13/2013 9:23,3/13/2013 12:58,3381,36
3983,3,44,3/13/2013 9:23,3/13/2013 12:58,1231,13
3984,4,43,3/13/2013 8:24,3/13/2013 15:49,2549,27
3984,5,48,3/13/2013 9:11,3/13/2013 15:31,2176,23
3985,6,21,3/13/2013 9:11,3/13/2013 14:21,3325,35
3986,1,21,3/14/2013 9:24,3/14/2013 12:19,1877,20
3986,2,25,3/14/2013 9:24,3/14/2013 12:19,2752,29
3986,3,57,3/14/2013 9:38,3/14/2013 11:23,601,6
3987,4,43,3/14/2013 9:38,3/14/2013 10:13,200,2
3987,5,47,3/14/2013 8:12,3/14/2013 8:47,200,2
3988,6,2,3/14/2013 8:12,3/14/2013 16:02,5042,54
3989,1,2,3/17/2013 9:34,3/17/2013 15:29,3809,40
3989,2,32,3/17/2013 9:34,3/17/2013 13:59,4168,44
3989,3,37,3/17/2013 8:07,3/17/2013 8:17,57,0
3990,4,55,3/17/2013 8:07,3/17/2013 8:17,57,0
3990,5,41,3/17/2013 8:21,3/17/2013 15:46,2550,27
3991,6,14,3/17/2013 8:21,3/17/2013 14:36,4024,43
3992,1,14,3/18/2013 8:35,3/18/2013 13:40,3273,35
3992,2,32,3/18/2013 8:35,3/18/2013 13:40,4798,51
3992,3,36,3/18/2013 8:48,3/18/2013 12:48,1375,14
3993,4,54,3/18/2013 8:48,3/18/2013 12:48,1375,14
3993,5,58,3/18/2013 9:02,3/18/2013 11:52,971,10
3994,6,17,3/18/2013 9:02,3/18/2013 9:12,107,1
3995,1,17,3/19/2013 9:16,3/19/2013 9:26,107,1
3995,2,26,3/19/2013 9:16,3/19/2013 9:51,549,5
3995,3,57,3/19/2013 9:29,3/19/2013 17:14,2657,28
3996,4,44,3/19/2013 9:29,3/19/2013 17:14,2657,28
3996,5,43,3/19/2013 8:03,3/19/2013 14:38,2257,24
3997,6,16,3/19/2013 8:03,3/19/2013 13:33,3535,37
3998,1,16,3/20/2013 8:17,3/20/2013 13:47,3535,37
3998,2,25,3/20/2013 8:17,3/20/2013 12:37,4085,43
3998,3,57,3/20/2013 9:23,3/20/2013 13:43,1485,15
3999,4,43,3/20/2013 9:23,3/20/2013 12:33,1085,11
3999,5,47,3/20/2013 8:44,3/20/2013 10:49,714,7
4000,6,2,3/20/2013 8:44,3/20/2013 10:49,1339,14
4001,1,2,3/21/2013 8:58,3/21/2013 9:53,589,6
4001,2,32,3/21/2013 9:11,3/21/2013 10:06,864,9
4001,3,37,3/21/2013 9:11,3/21/2013 17:16,2772,29
4002,4,55,3/21/2013 9:25,3/21/2013 16:25,2400,25
4002,5,41,3/21/2013 9:25,3/21/2013 16:25,2400,25
4003,6,14,3/21/2013 9:39,3/21/2013 10:14,375,4
4004,1,14,3/24/2013 9:07,3/24/2013 15:17,3965,42
4004,2,32,3/24/2013 9:07,3/24/2013 15:17,5815,62
4004,3,36,3/24/2013 9:21,3/24/2013 14:26,1743,18
4005,4,54,3/24/2013 9:21,3/24/2013 14:26,1744,18
4005,5,58,3/24/2013 9:35,3/24/2013 13:30,1343,14
4006,6,17,3/24/2013 9:35,3/24/2013 12:20,1768,18
4007,1,17,3/25/2013 8:08,3/25/2013 9:08,643,6
4007,2,26,3/25/2013 8:22,3/25/2013 9:22,943,10
4007,3,57,3/25/2013 8:22,3/25/2013 8:52,171,1
4008,4,44,3/25/2013 8:36,3/25/2013 9:06,171,1
4008,5,43,3/25/2013 8:36,3/25/2013 16:16,2630,28
4009,6,16,3/25/2013 8:49,3/25/2013 15:24,4234,45
4010,1,16,3/26/2013 8:49,3/26/2013 15:24,4234,45
4010,2,25,3/26/2013 9:03,3/26/2013 14:28,5108,54
4010,3,57,3/26/2013 9:03,3/26/2013 14:28,1858,19
4011,4,43,3/26/2013 9:17,3/26/2013 13:32,1458,15
4011,5,47,3/26/2013 9:17,3/26/2013 12:27,1086,11
4012,6,2,3/26/2013 8:29,3/26/2013 11:39,2036,21
4013,1,2,3/27/2013 8:29,3/27/2013 10:29,1286,13
4013,2,32,3/27/2013 8:04,3/27/2013 10:04,1886,20
4013,3,52,3/27/2013 8:04,3/27/2013 13:09,1744,18
4014,4,38,3/27/2013 8:18,3/27/2013 16:18,2745,29
4014,5,42,3/28/2013 8:18,3/28/2013 16:18,2745,29
4015,6,22,3/31/2013 9:18,3/31/2013 14:03,3055,32
4020,1,22,4/1/2013 9:35,4/1/2013 12:25,1823,19
4020,2,26,4/1/2013 8:09,4/1/2013 8:19,157,1
4020,3,58,4/1/2013 8:23,4/1/2013 16:28,2776,29
4021,4,44,4/1/2013 8:23,4/1/2013 16:28,2776,29
4021,5,47,4/1/2013 8:36,4/1/2013 14:56,2175,23
4022,6,12,4/1/2013 8:36,4/1/2013 12:26,2466,26
4023,1,12,4/2/2013 9:15,4/2/2013 13:05,2466,26
4023,2,24,4/2/2013 9:15,4/2/2013 11:55,2515,26
4023,3,42,4/2/2013 9:04,4/2/2013 11:44,915,9
4024,4,46,4/2/2013 9:04,4/2/2013 10:39,543,5
4024,5,33,4/2/2013 9:17,4/2/2013 9:42,143,1
4025,6,19,4/2/2013 9:17,4/2/2013 9:42,268,2
4026,1,19,4/3/2013 9:31,4/3/2013 17:06,4879,52
4026,2,28,4/3/2013 9:31,4/3/2013 16:01,6132,65
4026,3,59,4/3/2013 8:05,4/3/2013 14:35,2232,23
4027,4,46,4/3/2013 8:05,4/3/2013 13:25,1832,19
4027,5,36,4/3/2013 8:18,4/3/2013 13:38,1832,19
4028,6,23,4/3/2013 8:18,4/3/2013 10:23,1340,14
4029,1,23,4/4/2013 8:32,4/4/2013 11:37,1984,21
4029,2,27,4/4/2013 8:32,4/4/2013 11:37,2909,31
4029,3,59,4/4/2013 8:46,4/4/2013 10:41,658,7
4030,4,45,4/4/2013 8:46,4/4/2013 10:41,658,7
4030,5,49,4/4/2013 8:59,4/4/2013 9:44,257,2
4031,6,22,4/4/2013 8:59,4/4/2013 16:59,5148,55
4032,1,22,4/7/2013 8:41,4/7/2013 9:51,750,8
4032,2,28,4/7/2013 8:41,4/7/2013 14:46,5740,61
4032,3,46,4/7/2013 8:55,4/7/2013 16:05,2463,26
4033,4,49,4/7/2013 9:09,4/7/2013 16:19,2463,26
4033,5,52,4/7/2013 9:09,4/7/2013 15:14,2090,22
4034,6,11,4/7/2013 9:22,4/7/2013 14:17,3164,33
4035,1,11,4/8/2013 9:22,4/8/2013 14:17,3164,33
4035,2,29,4/8/2013 9:36,4/8/2013 13:21,3538,37
4035,3,46,4/8/2013 9:36,4/8/2013 13:21,1288,13
4036,4,33,4/8/2013 8:21,4/8/2013 11:01,916,9
4036,5,51,4/8/2013 8:21,4/8/2013 9:51,515,5
4037,6,23,4/8/2013 8:23,4/8/2013 9:53,965,10
4038,1,23,4/9/2013 8:23,4/9/2013 8:43,214,2
4038,2,28,4/9/2013 8:37,4/9/2013 8:57,314,3
4038,3,59,4/9/2013 8:37,4/9/2013 16:12,2606,27
4039,4,46,4/9/2013 8:51,4/9/2013 15:16,2205,23
