ID,LONGDIST,International,LOCAL,DROPPED,PAY_MTHD,LocalBillType,LongDistanceBillType,AGE,SEX,STATUS,CHILDREN,Est_Income,Car_Owner,CHURNED
42,8.86499,4.43676,43.6439,0,CH,Budget,Intnl_discount,55,M,S,2,85753.8,N,Vol
49,26.8624,0.0,15.4922,0,CC,FreeLocal,Intnl_discount,21,M,M,2,23564.1,N,Vol
55,17.2085,8.94192,138.045,0,CC,FreeLocal,Intnl_discount,42,M,S,0,37661.0,N,Current
59,24.5781,0.0,80.7466,0,Auto,FreeLocal,Standard,71,M,M,2,99064.0,N,Current
64,21.5021,0.0,47.2196,0,CC,FreeLocal,Standard,94,F,M,0,87251.8,Y,Vol
65,9.70314,1.20274,12.1824,0,CC,Budget,Standard,33,F,M,0,2974.76,Y,Vol
69,0.0,0.0,4.6195,0,CC,FreeLocal,Standard,21,M,S,0,23893.9,N,InVol
71,0.0,0.0,2.36223,0,CC,Budget,Standard,81,M,M,0,23289.7,N,InVol
72,27.3317,0.0,23.8602,0,Auto,FreeLocal,Intnl_discount,86,F,S,2,92885.9,N,Current
73,6.67147,0.0,77.2515,0,Auto,FreeLocal,Standard,54,M,M,2,11676.2,N,Current
78,13.6442,0.0,19.5464,1,Auto,FreeLocal,Standard,19,F,M,0,27842.1,N,Vol
80,20.5688,3.27443,23.342,0,CC,Budget,Standard,18,F,M,1,9925.68,N,Vol
83,0.0,0.0,0.353182,0,CC,Budget,Standard,63,M,M,1,9049.57,N,InVol
84,12.29,7.80039,47.4584,1,CC,Budget,Standard,75,M,M,2,17562.9,Y,Current
89,17.4133,0.0,28.1302,0,CC,Budget,Standard,62,M,M,0,50676.0,N,Current
92,4.71852,0.0,57.7746,0,Auto,FreeLocal,Standard,23,F,S,2,8383.47,Y,Vol
96,2.64829,0.0,24.7547,0,CC,Budget,Standard,57,M,M,0,28128.4,N,Current
100,21.9121,6.70828,27.0029,0,CC,Budget,Intnl_discount,52,M,S,0,88413.4,Y,Vol
101,2.42164,9.18686,41.1661,0,CH,Budget,Intnl_discount,48,M,S,0,81420.0,N,Vol
102,16.0686,1.53642,130.352,0,CC,Budget,Standard,77,F,M,2,37155.0,Y,Vol
104,8.7584,0.0,112.637,0,CC,Budget,Intnl_discount,61,M,M,1,85927.7,N,Current
116,1.87557,0.0,50.8569,3,CC,Budget,Standard,25,F,M,0,38950.5,N,Vol
117,18.3242,5.67837,31.2791,0,CC,FreeLocal,Standard,56,M,S,0,44143.1,N,Vol
122,17.7882,0.0,15.661,0,CC,Budget,Standard,45,M,M,1,39378.9,N,Current
125,1.13369,4.69725,57.623,0,Auto,Budget,Standard,59,F,S,1,69454.6,Y,Vol
130,0.0,0.0,1.06564,0,CC,FreeLocal,Standard,78,F,S,2,74392.1,N,Current
137,19.1906,3.6178,72.7449,0,CC,Budget,Standard,21,F,M,2,75323.4,N,Current
144,11.2712,0.0,52.739,0,CC,Budget,Standard,62,M,M,2,94092.6,N,Current
145,17.8467,8.79501,12.6127,0,CC,FreeLocal,Standard,32,M,S,1,63769.7,Y,Vol
149,8.62188,0.0,8.4896,0,CH,Budget,Standard,43,M,M,0,33935.8,Y,Current
154,17.6236,6.4129,116.805,0,CC,FreeLocal,Standard,32,F,M,2,18913.2,N,Vol
155,0.746339,2.93153,18.9028,0,CC,FreeLocal,Standard,20,M,M,1,99398.1,N,Vol
158,0.0,0.0,0.721981,0,CH,FreeLocal,Standard,67,F,M,0,87765.2,N,InVol
160,4.95545,0.0,30.8984,3,CH,FreeLocal,Standard,83,F,S,1,96112.1,Y,Vol
170,0.0,0.0,3.09153,0,Auto,FreeLocal,Intnl_discount,46,F,M,0,46734.5,N,Vol
172,21.8252,0.0,69.0037,0,CC,FreeLocal,Standard,66,M,S,0,80025.3,Y,Current
173,8.49429,0.0,50.0336,0,Auto,Budget,Standard,42,F,S,2,49776.2,Y,Vol
174,11.0643,0.0,40.8219,0,CC,Budget,Standard,27,M,S,2,4335.86,N,Vol
177,16.4607,0.0,57.6569,0,CC,FreeLocal,Intnl_discount,93,F,S,0,74912.1,Y,Vol
178,0.0,0.0,3.82346,0,CC,FreeLocal,Intnl_discount,19,F,S,1,44566.6,Y,InVol
179,20.7002,0.0,20.0558,0,CC,Budget,Standard,93,M,M,1,25949.0,N,Current
180,26.6717,0.0,71.9828,0,CC,Budget,Standard,73,F,M,0,76660.7,N,Current
181,14.4655,0.0,69.296,0,CC,FreeLocal,Standard,48,M,M,0,58764.7,Y,Current
187,7.66546,0.0,83.0776,0,Auto,FreeLocal,Standard,47,M,M,2,90070.5,N,Current
188,25.3064,0.0,51.6158,0,CC,Budget,Intnl_discount,94,F,M,2,38925.5,N,Current
195,5.02206,0.0,29.8046,0,CC,Budget,Standard,20,M,S,2,9431.04,N,Vol
197,21.4032,0.0,14.4486,0,CH,Budget,Standard,32,M,M,0,38038.7,Y,Current
198,4.99631,0.682405,56.1098,0,CC,Budget,Intnl_discount,19,F,S,0,50290.7,N,Vol
199,24.0534,0.0,17.6976,0,CH,FreeLocal,Standard,78,F,S,1,88990.6,Y,Vol
201,22.9001,0.0,22.7052,1,CH,Budget,Intnl_discount,36,F,M,1,5283.2,N,Current
202,18.8847,0.0,96.298,0,CH,FreeLocal,Standard,79,M,M,1,37571.1,N,Current
206,5.35732,0.0,27.1427,0,CC,Budget,Standard,23,F,M,1,22767.0,Y,Vol
208,8.7128,0.0,45.6406,0,CH,FreeLocal,Standard,79,M,M,0,61985.6,N,Current
216,14.7052,0.0,42.1408,1,CC,FreeLocal,Intnl_discount,27,M,M,1,23234.8,N,Current
217,21.1887,0.0,30.472,0,CC,FreeLocal,Standard,81,M,M,2,20759.9,N,Current
218,2.74206,0.0,180.967,0,CC,Budget,Standard,54,M,M,2,93476.6,Y,Current
222,12.9312,0.0,137.136,0,CC,FreeLocal,Intnl_discount,29,M,M,0,20315.4,Y,Current
229,3.74428,0.0,15.1292,0,CC,Budget,Standard,68,M,M,0,55059.2,N,Current
230,4.02209,0.0,13.6405,0,CC,FreeLocal,Standard,64,M,M,1,92298.0,N,Current
242,0.0,0.0,3.20686,0,Auto,FreeLocal,Standard,77,M,S,2,20965.3,N,InVol
244,24.6557,0.0,38.2387,0,CC,Budget,Standard,69,M,M,2,64113.6,Y,Current
245,8.64595,0.0,67.4168,0,CC,Budget,Intnl_discount,40,M,S,0,57482.7,Y,Current
250,18.1867,0.0,19.4595,0,Auto,FreeLocal,Intnl_discount,81,F,M,1,77622.9,N,Vol
252,24.9603,0.0,82.8954,0,CC,FreeLocal,Intnl_discount,71,F,S,1,61302.0,N,Current
253,5.19336,0.0,30.0002,0,CC,FreeLocal,Standard,90,F,M,1,41416.8,N,Vol
255,18.8106,0.0,86.9893,0,Auto,Budget,Standard,42,F,S,1,14740.1,N,Vol
257,17.3453,0.0,95.9733,0,CC,Budget,Intnl_discount,93,F,M,1,20013.2,Y,Current
258,10.8852,0.0,26.7538,0,CH,FreeLocal,Standard,58,M,M,0,88811.0,N,Current
259,11.3554,0.0,13.46,0,CC,FreeLocal,Standard,43,F,S,2,77293.0,N,Vol
260,21.4738,0.0,7.81196,0,Auto,Budget,Intnl_discount,23,F,M,2,70032.2,N,Current
263,12.5062,0.0,68.0231,0,CC,FreeLocal,Standard,84,M,M,0,88164.0,N,Current
268,0.0,0.0,0.719743,0,CC,Budget,Standard,94,F,M,1,35940.6,N,InVol
280,0.0,0.0,2.63957,0,Auto,Budget,Standard,93,F,M,1,50290.7,N,InVol
282,12.6336,0.0,37.3446,0,CC,Budget,Standard,81,M,S,0,44073.5,N,Current
285,3.2576,0.0,10.0741,0,CC,FreeLocal,Standard,72,M,S,1,95182.1,N,Current
286,25.2264,0.0,45.8622,0,CC,FreeLocal,Intnl_discount,70,M,M,2,52921.0,N,Current
287,16.7824,3.51674,12.94,0,CC,FreeLocal,Standard,54,F,M,1,27376.0,N,Vol
289,28.2424,0.0,139.125,0,CC,Budget,Standard,91,F,S,0,48262.4,N,Vol
295,20.928,0.0,30.5278,0,CC,Budget,Standard,50,F,M,2,59078.0,Y,Current
302,13.4495,3.76952,15.896,0,CC,FreeLocal,Intnl_discount,67,F,S,0,79727.0,N,Vol
307,29.0671,0.0,23.0017,0,CC,Budget,Standard,32,F,S,2,5108.57,N,Current
309,23.111,0.0,87.0058,0,CH,FreeLocal,Standard,34,F,M,2,94024.1,N,Current
310,18.7406,0.0,113.109,0,CC,Budget,Standard,62,M,S,1,11359.6,N,Current
311,7.05853,0.0,20.352,0,CH,Budget,Standard,49,M,S,0,60282.8,N,Current
315,11.9742,0.0,30.6291,0,Auto,Budget,Intnl_discount,61,M,M,0,95132.7,N,Current
316,27.9603,0.0,87.1555,0,CC,Budget,Intnl_discount,39,F,M,1,85980.9,N,Current
317,23.8214,0.0,24.7165,0,CH,Budget,Intnl_discount,83,F,M,0,67042.0,N,Current
318,0.0,0.0,2.34825,0,CC,FreeLocal,Intnl_discount,28,M,M,0,99563.1,N,InVol
321,6.20447,0.0,41.7494,0,Auto,FreeLocal,Standard,52,F,M,1,24943.0,Y,Vol
326,15.3279,0.0,5.11791,0,CH,Budget,Standard,26,M,S,2,8172.8,N,Current
330,14.99,0.0,24.0572,0,CC,FreeLocal,Standard,55,F,M,0,79771.3,Y,Vol
332,20.1406,0.0,28.6919,0,Auto,FreeLocal,Standard,58,F,M,0,91446.4,Y,Current
334,5.66316,0.0,10.1977,0,Auto,Budget,Standard,36,F,M,2,96283.6,N,Current
335,27.3692,0.204806,48.8997,0,CH,FreeLocal,Intnl_discount,19,F,S,1,24896.1,N,Vol
336,18.6114,0.0,33.5428,0,CC,Budget,Standard,91,M,M,1,16785.9,N,Current
340,0.0,0.0,0.984838,0,CH,FreeLocal,Standard,68,M,M,0,10421.7,N,Current
348,24.8924,0.0,65.5671,0,CC,FreeLocal,Standard,42,F,M,0,18199.7,N,Vol
350,0.0,0.0,4.38961,0,CH,FreeLocal,Standard,90,M,M,1,5257.65,N,InVol
352,27.1126,0.0,5.99696,0,CH,Budget,Intnl_discount,47,F,M,2,56816.4,N,Vol
356,3.09969,0.0,6.43271,0,CC,Budget,Standard,65,M,M,0,30057.4,Y,Current
357,0.0,0.0,1.92333,0,CH,Budget,Standard,26,M,M,2,52266.3,N,InVol
363,8.35477,0.0,90.6508,0,Auto,Budget,Intnl_discount,59,F,M,1,50290.7,N,Vol
369,21.0837,9.42386,6.3849,0,CH,Budget,Intnl_discount,55,M,S,2,50050.5,N,Vol
379,18.9062,0.0,23.2863,0,CC,FreeLocal,Standard,39,F,S,1,46638.5,N,Current
386,0.0,0.0,0.817267,0,CC,FreeLocal,Intnl_discount,86,M,M,1,87073.1,N,InVol
387,27.7728,0.0,91.0947,0,CC,FreeLocal,Intnl_discount,94,F,S,2,42983.3,N,Current
388,24.0348,0.0,48.0558,0,CC,FreeLocal,Intnl_discount,84,F,S,2,32964.2,N,Current
390,0.0,0.0,3.53783,0,CC,FreeLocal,Intnl_discount,81,M,S,2,3714.96,N,InVol
393,11.0278,0.0,87.3334,0,CC,Budget,Intnl_discount,62,F,M,1,63314.6,N,Vol
394,7.51558,7.35241,25.2111,0,CH,Budget,Standard,22,F,M,0,42877.2,N,Vol
396,4.50572,0.0,16.3554,0,CC,Budget,Standard,83,F,S,1,78854.9,N,Vol
398,1.77108,0.0,98.7067,1,CC,FreeLocal,Standard,29,M,S,0,49127.2,N,Current
400,15.9181,0.0,6.32212,0,Auto,Budget,Intnl_discount,44,M,M,2,57430.5,N,Current
401,1.80752,0.0,38.3473,0,CC,Budget,Intnl_discount,58,M,S,0,56286.8,N,Current
402,26.7801,0.0,40.4672,0,CC,Budget,Standard,63,F,S,1,83977.6,N,Vol
407,20.323,0.0,90.7022,0,CH,Budget,Standard,22,F,S,2,80571.6,Y,Current
409,0.0,0.0,3.4747,0,CC,Budget,Standard,94,F,M,2,78994.1,N,InVol
412,1.55952,9.02966,15.1776,1,CC,Budget,Standard,53,M,M,1,18672.0,Y,Vol
413,25.4208,0.0,56.0861,0,CH,Budget,Intnl_discount,34,F,S,0,91147.5,N,Current
415,23.086,0.0,38.2867,0,CC,Budget,Standard,40,F,M,1,21126.7,N,Vol
424,11.6852,0.215853,43.557,0,CH,FreeLocal,Standard,29,F,S,0,73032.9,N,Current
427,13.2006,0.0,35.1299,0,CC,FreeLocal,Standard,50,M,S,2,48882.6,N,Current
430,12.438,0.0,16.6165,0,Auto,Budget,Standard,18,F,M,1,57549.5,N,Current
431,19.2855,0.0,10.7782,0,CC,Budget,Intnl_discount,57,F,M,0,81576.2,N,Vol
433,24.2874,0.0,13.727,0,Auto,Budget,Standard,62,M,S,2,49059.4,N,Current
442,26.2807,0.0,71.9253,0,CC,FreeLocal,Intnl_discount,55,F,S,0,95489.4,Y,Vol
448,12.8691,0.0,92.8538,1,CC,FreeLocal,Standard,29,M,S,2,35235.9,N,Vol
454,11.4511,0.0,42.8642,0,Auto,FreeLocal,Standard,69,M,M,2,30901.3,N,Current
458,0.086201,0.0,7.43667,0,Auto,FreeLocal,Intnl_discount,95,M,M,2,92855.3,N,Current
463,0.0,0.0,3.62281,0,Auto,Budget,Standard,37,F,M,1,25541.8,N,InVol
469,26.0546,0.0,59.6145,0,CC,Budget,Standard,75,F,S,1,50290.7,N,Vol
471,12.499,0.0,74.9292,0,CC,Budget,Standard,55,F,M,2,7394.15,N,Current
474,28.747,0.0,18.6569,0,CC,Budget,Standard,67,M,M,2,37168.9,N,Current
481,3.60472,0.0,11.1486,0,CH,Budget,Standard,59,M,M,0,77177.1,N,Current
484,0.0,0.0,3.07655,0,CC,FreeLocal,Standard,77,F,S,2,79972.6,Y,InVol
498,26.3026,0.0,7.62186,0,CC,FreeLocal,Standard,89,M,S,2,30059.6,N,Current
499,0.0,0.0,1.03882,0,Auto,FreeLocal,Standard,82,F,S,1,95877.7,N,InVol
507,6.73328,0.0,36.3634,0,CC,Budget,Standard,72,M,M,0,96188.2,N,Current
509,18.2331,0.0,23.515,0,Auto,Budget,Intnl_discount,59,M,M,2,35119.1,N,Current
518,11.193,0.0,75.5965,0,CC,FreeLocal,Standard,67,M,S,1,36415.3,Y,Current
521,2.68441,0.0,17.1281,0,Auto,FreeLocal,Standard,58,F,M,1,1414.58,N,Current
524,15.3306,0.798082,39.695,0,CH,Budget,Standard,18,F,M,1,9929.4,Y,Current
527,10.7998,0.0,42.7941,0,CC,Budget,Standard,87,M,S,1,22718.6,N,Current
532,0.0,0.0,2.64145,1,CC,Budget,Standard,82,M,M,2,30271.4,N,InVol
541,26.6145,0.0,39.2117,1,CH,FreeLocal,Standard,49,M,M,1,62381.4,N,Current
543,16.8547,0.0,134.435,0,CH,Budget,Standard,82,M,S,2,2271.11,N,Current
545,13.6205,0.0,188.555,0,CC,Budget,Standard,91,F,M,1,82051.9,N,Vol
546,7.68173,0.0,22.6085,0,CC,FreeLocal,Standard,57,M,M,1,57272.7,N,Current
549,0.0,0.0,4.74237,0,CH,FreeLocal,Standard,81,M,S,2,15669.3,Y,InVol
550,16.1571,0.0,88.1026,0,CC,FreeLocal,Standard,31,F,S,2,85401.7,Y,Current
558,6.22539,0.0,16.0344,2,CC,Budget,Intnl_discount,58,M,M,1,99619.9,Y,Current
564,2.26286,0.0,49.9448,0,Auto,FreeLocal,Intnl_discount,23,M,M,2,55371.8,N,Current
566,24.181,0.0,33.4669,0,CC,Budget,Standard,48,F,M,0,24737.8,N,Current
567,15.63,4.0809,59.1443,0,CC,Budget,Intnl_discount,80,M,M,0,50290.7,N,Current
568,0.0,0.0,0.932339,0,CC,FreeLocal,Standard,41,M,M,0,2645.1,Y,InVol
569,6.63402,0.0,18.2572,0,CC,FreeLocal,Standard,39,F,S,2,83996.9,N,Current
572,15.3349,0.0,61.8568,0,CC,FreeLocal,Standard,21,F,M,1,73138.8,Y,Current
577,5.25741,0.0,32.0467,0,CC,Budget,Standard,19,M,M,0,58979.3,Y,Current
578,6.76149,0.0,25.009,0,CH,FreeLocal,Standard,88,M,S,1,49176.2,N,Current
579,0.0,0.0,4.32909,1,CH,Budget,Intnl_discount,28,F,M,0,48631.3,N,InVol
586,0.0,0.0,4.09209,1,CH,Budget,Standard,88,F,M,1,36970.2,N,InVol
589,4.64107,1.76543,68.6261,0,CC,FreeLocal,Standard,77,F,M,0,39516.3,N,Vol
591,28.9211,0.0,28.7127,0,Auto,Budget,Standard,76,M,M,2,24855.7,Y,Current
594,26.2161,0.0,19.7238,0,CC,Budget,Intnl_discount,29,M,M,0,97996.9,N,Current
598,22.8522,0.0,24.6678,0,CH,FreeLocal,Intnl_discount,48,M,S,2,87381.8,N,Current
603,28.0556,0.0,61.9932,2,CC,Budget,Standard,38,F,M,2,81309.5,Y,Current
604,25.4421,0.0,241.049,0,CC,Budget,Intnl_discount,34,M,M,0,73834.9,Y,Current
611,0.0,0.0,1.1855,0,CC,FreeLocal,Intnl_discount,48,F,S,2,60908.1,N,InVol
613,0.0,0.0,4.29746,0,CC,Budget,Standard,87,F,S,0,21744.9,Y,InVol
619,6.54951,0.0,130.343,0,CC,Budget,Standard,79,F,M,0,28021.4,Y,Current
621,14.4,0.0,20.97,0,CC,Budget,Standard,49,F,M,2,48334.1,N,Vol
623,12.9488,0.0,17.6251,0,Auto,FreeLocal,Standard,93,M,M,0,60325.9,Y,Current
625,13.7243,0.0,13.3512,0,Auto,Budget,Intnl_discount,72,M,S,0,21079.2,Y,Current
627,18.1293,0.0,83.884,0,Auto,FreeLocal,Intnl_discount,85,M,S,1,75991.2,N,Current
628,0.0,0.0,2.01537,0,CC,FreeLocal,Intnl_discount,70,F,S,1,64815.5,N,InVol
630,26.4679,0.0,13.9461,0,CC,Budget,Standard,34,F,M,2,24325.8,Y,Current
647,1.32152,0.0,147.871,0,CC,Budget,Standard,54,F,S,1,61231.7,N,Vol
648,27.2291,8.07356,6.67657,0,Auto,FreeLocal,Standard,94,F,M,2,17964.0,N,Vol
649,0.0,0.0,0.049147,0,CC,Budget,Standard,75,F,M,1,59251.0,Y,InVol
654,19.4814,6.17842,93.3035,1,Auto,Budget,Intnl_discount,82,F,S,1,80066.3,N,Vol
655,16.3248,0.0,26.2882,0,CH,Budget,Standard,37,M,M,0,43235.5,N,Current
656,0.0,0.0,4.14804,0,CH,FreeLocal,Intnl_discount,40,F,S,0,56016.0,N,InVol
657,18.5658,0.0,42.9039,1,CC,Budget,Standard,65,M,M,0,50290.7,N,Current
659,14.7664,0.0,101.051,2,CC,FreeLocal,Standard,25,M,S,2,51268.5,Y,Current
661,17.7954,0.0,12.5649,1,CC,FreeLocal,Standard,58,F,M,2,29597.1,N,Current
665,20.9408,0.0,13.9135,0,CC,FreeLocal,Standard,73,M,S,2,73240.3,N,Current
668,6.18902,9.15926,105.295,0,Auto,Budget,Standard,40,F,M,0,15980.1,Y,Vol
669,28.6435,0.0,9.82193,0,CC,FreeLocal,Standard,59,F,S,1,61205.6,N,Vol
670,22.5282,0.0,38.3594,0,CC,FreeLocal,Standard,60,F,M,2,21380.9,N,Vol
672,14.1348,0.0,7.71316,0,Auto,Budget,Standard,67,M,S,0,88874.0,Y,Current
674,16.2201,0.0,53.9599,0,CC,FreeLocal,Standard,43,M,M,1,35827.5,Y,Current
683,0.0,0.0,4.87391,0,CH,FreeLocal,Standard,19,M,M,0,76071.2,N,InVol
684,0.0,0.0,1.8355,0,CC,Budget,Intnl_discount,43,F,M,0,85205.1,Y,Vol
692,15.0094,0.0,45.9257,0,Auto,Budget,Standard,95,M,M,2,21213.0,N,Current
703,11.2436,6.81837,115.445,0,CC,FreeLocal,Intnl_discount,52,M,S,1,37809.7,Y,Vol
704,22.5323,0.0,11.5307,1,CC,FreeLocal,Standard,93,M,S,1,68089.1,N,Current
709,0.0,0.0,0.842592,0,CH,FreeLocal,Intnl_discount,22,M,S,1,15434.3,Y,Vol
710,28.8034,0.0,142.43,0,CC,FreeLocal,Intnl_discount,73,F,S,0,92405.9,N,Current
715,5.20037,0.0,51.5682,0,CC,FreeLocal,Standard,90,M,M,0,42248.7,N,Current
721,0.0,0.0,4.83151,1,CC,FreeLocal,Standard,59,M,S,0,60111.8,N,InVol
722,20.8034,0.0,36.8164,0,CC,Budget,Standard,55,F,M,0,28528.0,Y,Current
727,24.4225,0.0,104.948,0,CC,FreeLocal,Standard,83,M,M,2,85753.4,N,Current
729,20.6061,0.0,18.2213,0,CH,Budget,Intnl_discount,37,M,S,1,28906.8,N,Current
739,0.0,0.0,0.084098,0,CC,FreeLocal,Intnl_discount,51,F,M,1,62990.7,N,InVol
747,7.34505,0.0,12.1064,0,CH,Budget,Intnl_discount,78,M,M,0,54864.6,N,Current
763,22.4379,0.0,107.181,0,CH,Budget,Standard,25,M,M,2,40774.2,N,Current
765,26.871,0.0,6.60685,0,CH,FreeLocal,Standard,81,F,M,1,50613.1,Y,Vol
774,0.0,0.0,0.085681,0,CH,FreeLocal,Intnl_discount,79,F,M,1,18442.8,N,InVol
779,7.43117,0.0,89.5143,0,CH,Budget,Standard,74,M,M,1,60015.1,N,Current
781,27.5645,0.0,212.356,0,Auto,Budget,Standard,65,M,S,1,11520.3,N,Current
792,11.0311,4.14799,92.1348,0,CC,Budget,Standard,57,M,S,2,26349.1,N,Current
795,29.3056,0.011654,54.823,0,CC,FreeLocal,Standard,65,M,M,2,54370.8,N,Current
798,16.4737,0.0,35.8032,1,CC,FreeLocal,Standard,55,M,M,2,50290.7,N,Current
800,7.81393,0.0,33.1688,0,Auto,FreeLocal,Standard,89,F,S,2,79133.0,Y,Vol
803,14.206,0.0,25.159,0,CC,Budget,Intnl_discount,61,F,S,2,54643.3,Y,Current
804,22.0865,6.42161,7.52631,0,CC,Budget,Intnl_discount,55,F,S,0,91646.6,Y,Vol
807,18.0744,0.0,23.0593,0,CC,FreeLocal,Standard,42,F,M,1,79763.6,Y,Current
812,13.9638,0.0,7.73367,0,CH,Budget,Intnl_discount,43,M,M,1,15425.3,Y,Current
813,7.04104,3.50659,99.3944,1,CC,FreeLocal,Standard,62,M,M,1,65619.8,Y,Vol
815,24.1402,0.0,40.5218,0,Auto,Budget,Standard,38,M,S,2,58087.5,N,Current
816,16.6407,0.0,58.5301,0,CH,Budget,Intnl_discount,30,F,M,2,36740.7,N,Current
818,0.0,0.0,0.493999,0,CH,Budget,Intnl_discount,57,M,S,1,78255.3,N,InVol
827,28.7483,6.32584,64.6961,0,CC,Budget,Standard,96,F,M,2,95394.0,N,Vol
834,1.67688,0.0,89.0801,0,CC,FreeLocal,Standard,74,F,S,2,25754.9,N,Current
835,14.8257,7.79501,287.295,0,Auto,Budget,Standard,40,M,M,0,55714.0,N,Current
836,0.0,0.0,1.31433,0,Auto,Budget,Standard,64,F,M,1,1433.72,N,InVol
844,8.28961,0.0,8.24314,0,CH,FreeLocal,Intnl_discount,65,F,S,0,36159.0,N,Current
848,22.0932,0.0,15.1661,0,CH,FreeLocal,Intnl_discount,56,M,M,1,24626.0,N,Current
849,25.6531,0.813493,81.7375,1,CH,FreeLocal,Intnl_discount,69,F,M,0,49188.9,Y,Vol
856,22.3447,0.0,38.7208,0,Auto,Budget,Intnl_discount,57,F,M,0,83165.7,N,Vol
858,13.6403,0.0,16.2069,0,Auto,Budget,Intnl_discount,70,F,S,2,15080.4,N,Current
860,28.8086,0.0,13.6364,0,Auto,Budget,Standard,22,F,M,2,59699.5,N,Current
861,10.4404,0.0,127.425,0,Auto,Budget,Standard,39,M,M,1,88474.7,Y,Current
863,16.3452,0.0,15.2455,0,CC,FreeLocal,Standard,58,M,M,0,64789.8,N,Current
867,5.49032,0.0,65.4262,1,Auto,Budget,Standard,19,F,M,1,99261.8,Y,Current
868,5.80985,0.0,11.4822,0,CC,FreeLocal,Standard,83,F,M,0,89344.4,N,Current
872,9.44133,0.0,80.6451,0,CH,Budget,Standard,82,F,S,1,79009.7,N,Current
873,0.0,0.0,0.911027,0,CC,Budget,Standard,68,M,M,2,17060.3,Y,InVol
875,1.11146,0.0,22.7433,0,CC,FreeLocal,Standard,96,M,S,0,83986.8,Y,Current
877,16.3738,0.049815,49.1901,0,CC,Budget,Standard,48,M,S,1,98360.6,Y,Current
879,3.85902,0.0,37.2109,0,Auto,Budget,Standard,74,F,S,1,42002.0,N,Vol
880,16.6091,0.0,50.6943,0,CC,Budget,Standard,55,M,M,1,41334.1,N,Current
883,13.7968,0.0,337.564,0,CH,FreeLocal,Standard,69,F,M,2,28848.8,N,Current
887,9.51882,0.0,66.0982,0,CC,Budget,Standard,53,M,M,2,17246.0,Y,Current
888,3.22473,0.0,35.9312,0,CC,FreeLocal,Standard,71,F,M,2,80667.4,N,Vol
891,28.1922,0.0,93.6347,0,CH,FreeLocal,Standard,19,F,S,2,56438.9,N,Current
894,17.1297,0.0,14.0689,0,CH,FreeLocal,Intnl_discount,37,M,M,0,52355.1,Y,Current
897,24.0918,0.0,32.9288,0,CC,FreeLocal,Intnl_discount,75,M,M,0,99454.2,N,Current
910,1.01493,0.0,57.9899,0,CH,FreeLocal,Standard,37,F,M,2,80869.8,N,Current
914,18.4508,0.0,65.5716,0,CH,FreeLocal,Standard,38,F,M,1,50290.7,N,Current
918,25.9869,0.0,26.6992,0,CH,FreeLocal,Standard,94,M,S,0,44927.0,N,Current
919,0.0,0.0,1.85518,1,CH,Budget,Standard,63,M,S,0,37120.0,Y,InVol
920,20.5851,0.0,50.3302,0,CC,Budget,Standard,86,F,M,0,2530.76,Y,Current
921,14.7545,0.0,71.142,0,CC,Budget,Intnl_discount,54,F,M,2,19758.3,N,Current
926,9.78628,8.79796,72.6244,0,CC,Budget,Standard,69,F,M,0,10250.1,N,Vol
